,by,descendants,id,kids,score,time,title,type,url,text
85,siftrics,202.0,37971038,"[37986635, 37975006, 37973682, 37975895, 37977966, 37973658, 37977324, 37973341, 37978046, 37973563, 37979860, 37973787, 37976674, 37973589, 37972652, 37973530, 37993164, 37975184, 37973483, 37973540, 37988034, 37982020, 37989970, 37971271, 37973601, 37976857, 37973816, 37978469, 37977242, 37976784, 37976181, 37977157, 37971498, 37978177, 37983360, 37988283, 37973046, 37977618, 37971474, 37977634, 37978590, 37971162, 37973748, 37972910, 37973654]",434,1697927115,Tell HN: 3G sunsetting is remotely killing every Subaru Outback battery,story,,"Subaru partnered with a service called STARLINK which shares your location in the event of collisions, among other things.<p>STARLINK intermittently tries to phone home by hitting 3G towers.<p>Now that 3G is shutting down, the digital communications module (DCM) gets stuck in an infinite loop of<p>1. Phone home, expending battery charge
2. Fail, because 3G doesn&#x27;t work anymore
3. Go back to step 1<p>This effectively remotely drains the battery of every Subaru Outback  built between 2015 and 2020.<p>Even if you drive your car every day, its battery will die and you won&#x27;t be able to start it.<p>Other models are probably affected, too.<p>There was a class action lawsuit. But this is a pretty egregious engineering oversight, given they were still producing defective cars in 2020, hardly two years before 3G flipped off.<p>Will a brand ever produce a reliable, mechanical car? Why should 3G towers have anything to do with my car being able to start?"
86,Breadmaker,21.0,37941509,"[37972937, 37973075, 37973681, 37974811, 37973852, 37974077, 37973367, 37972595, 37973114, 37975158, 37972530, 37975496, 37973506]",279,1697715790,"I, Voyager: Open-Source Software Planetarium",story,https://www.ivoyager.dev/,
87,nalgeon,31.0,37985005,"[37994188, 37987591, 37988206, 37987278, 37988197, 37990176, 37987978]",108,1698066013,ChDB: Embedded OLAP SQL Engine Powered by ClickHouse,story,https://github.com/chdb-io/chdb,
88,giuliomagnifico,39.0,37954321,"[37980240, 37982037, 37980178, 37993272, 37980510, 37984493, 37988008, 37980643, 37982647, 37984968, 37983242, 37990136, 37983657, 37987114, 37983477]",133,1697797204,Maps.fm: listen a podcast episode about that place on the map,story,https://maps.fm/dl/783bbb,
89,gslin,11.0,37991099,"[37991559, 37994436]",26,1698092834,Gaming Companies Flag 'Highly Skilled Hackers' as Emerging Piracy Threat,story,https://torrentfreak.com/gaming-companies-flag-highly-skilled-hackers-as-emerging-piracy-threat-231023/,
90,rbanffy,0.0,37988857,,4,1698082146,Cinebench 2024: Reviewing the Benchmark,story,https://chipsandcheese.com/2023/10/22/cinebench-2024-reviewing-the-benchmark/,
91,app4soft,29.0,37979758,"[37982576, 37985695, 37984861, 37984252, 37984871, 37984442, 37982589, 37983782]",85,1698014764,Dune 3D – an open source parametric 3D CAD app bassed on OCCT,story,https://dune3d.org/,
92,grecy,0.0,37994527,,4,1698117497,Europe Reluctantly Chooses SpaceX to Launch Its GPS Satellites,story,https://gizmodo.com/europe-spacex-contract-launch-galileo-gps-satellites-1850949500,
93,lawlessone,64.0,37990750,"[37991082, 37991170, 37992030, 37991555, 37990969, 37991042, 37994014, 37991000, 37990801, 37991674, 37991235]",69,1698091173,New data poisoning tool lets artists fight back against generative AI,story,https://www.technologyreview.com/2023/10/23/1082189/data-poisoning-artists-fight-generative-ai/,
94,rose_ann_,2.0,37991909,"[37992862, 37994021]",11,1698096979,Scientists create artificial protein that can degrade microplastics in bottles,story,https://phys.org/news/2023-10-scientists-artificial-protein-capable-degrading.html,
95,rbanffy,20.0,37970800,"[37971634, 37972459, 37975316, 37972004, 37971627, 37974329, 37972056, 37974211, 37972039, 37987769]",241,1697925118,OpenRefine,story,https://openrefine.org/,
96,hackerbeat,2.0,37983444,"[37994045, 37983445]",11,1698054004,How Spiders Fly,story,https://buzzbloq.com/the-incredible-science-of-spider-flight-unraveling-the-mysteries-of-ballooning/,
97,gavinhoward,15.0,37973434,"[37996862, 37987787, 37989881, 37974639, 37987517, 37990126, 37980526, 37984351, 37984991]",34,1697958303,He Who Gives Up Correctness for Performance Deserves Neither,story,https://gavinhoward.com/2023/10/he-who-gives-up-correctness-for-performance-deserves-neither/,
98,california-og,23.0,37973105,"[37975724, 37976755, 37974380, 37975912, 37973877, 37975446, 37980998, 37974316, 37978888, 37978141, 37974005, 37979309, 37974003, 37975578, 37987281, 37974162]",218,1697953537,Amiga ASCII Art,story,https://blog.glyphdrawing.club/amiga-ascii-art/,
99,torstenvl,0.0,37988089,,4,1698079040,Show HN: Time Machine Utilities,story,https://github.com/torstenvl/tmutils,"I wrote some shell scripts to automate &quot;fixing&quot; old Time Machine backups, particularly Time Machine backups from previous computers.<p>I&#x27;ve personally experienced a lot of friction with this, and found out that some of the metadata stored in the Backups.backupdb and individual snapshot directories prevent successful use with Time Machine on other computers in some cases. Time Machine itself does not always handle this gracefully.<p>These utilities should help users wrangle older backups to make them work with Time Machine on their current Mac."
